"ID","NAME","DESCRIPTION","VISIBILITY","SCENARIO_ID","ROLE"
"68bb7bd4-c863-4d1e-bd35-df1df060be89","USSC_WRITE_LOG_USER","Write Log","Customer","6","1"
"21570782-e39f-48d2-b1d4-79efe2d6d07b","USSC_UPLOAD_PRODPACK_USER","Upload Product Pack Data","Customer","6","1"
"ecd19e31-7bb1-4fbe-81b6-7f1ac615d32b","USSC_LDUPLOAD_PROD_USER","Upload Product Data","Customer","6","1"
"74aec660-3e88-4fa4-95a5-9b34ece7abcf","USSC_ALERT_SERVICE_USER","Configure Alert Creation Rules","Customer","6","1"
"02877c79-bc57-4358-a3a7-1d144471478a","PORTAL_USSC_CROSS_NAV_USER","U.S. Drug Supply Chain Security","All","5","All"
"13e5f126-3293-4b28-a1c7-2e7270c4d6b0","INVITATION_MANAGEMENT_ADMIN","Manage Invitations","All","4","All"
"ebbf11e9-99ca-4df2-8203-b62d29843e40","CONNECTION_MANAGEMENT_ADMIN","Manage Connections","All","4","All"
"81710178-9025-4183-9f8d-298895833b5b","MESSAGE_MANAGEMENT_ADMIN","Manage Messages","All","4","All"
"c8472799-5cb8-4647-8365-6f85b266226c","CFM_CMOTPL_SNRR","Request Serial Numbers","BusinessPartner","1","All"
"e410ce0d-f99c-49cb-89eb-f679026f25f2","CFM_SAUDI_MONITORING","Monitoring","Customer","3","All"
"f02bd545-3e43-4bdd-9917-5625e5c60df4","CFM_SAUDI_MARKET_CONFIGURATION","Market Configuration","Customer","3","All"
"0e8fbf02-4355-4ae0-bdca-0952082730a5","MANAGE_CUSTOMIZATION_ADMIN","Manage Customizations","Customer","4","All"
"5defc152-a1c3-49d9-aa7b-72154bba4807","CFM_EUHUB_ALERTING","Manage Alerts","Customer","2","All"
"4207be8b-27cd-4ac1-a9a2-e7d1a09a00cc","CFM_EUHUB_REPORT_DOWNLOAD","Download Reports","Customer","2","All"
"cb93f9bd-89c0-4428-9c8a-547a2c31e073","CFM_EUHUB_REPORT_CONFIGURATION","Configure Reports","None","2","All"
"857b725d-7c2a-4a30-a9b6-9394256dd9d4","CFM_EUHUB_REQUEST_REPORT","Request Report","Customer","2","All"
"e5ee33de-adc1-4de3-8186-fe1663c1a1bd","CFM_CMOTPL_SEM","Manage Serialization Events","BusinessPartner","1","All"
"16eed6c8-da2d-416c-9a65-519d82dfe128","EPCIS_CONFIGURATION_ADMIN","EPCIS Configuration","Customer","4","All"
"e6e98883-a9e6-4bd5-9d1b-7113479efaab","CFM_CMOTPL_ONBOARDING","Onboarding","None","1","All"
"1bfd2c06-a9b1-4623-a681-61b59a9ee6ac","CFM_CMOTPL_GENERIC_MESSAGING","Generic Messaging","BusinessPartner","1","All"
"79fa4e15-21a1-46fe-967d-d542a698cd39","CFM_CMOTPL_TRADEITEM","Trade Items","BusinessPartner","1","All"
"6b4e1d0f-143f-4151-8f52-c250dc66622c","CFM_CMOTPL_RELATIONSHIP_MANAGER","Relationship Manager","BusinessPartner","1","All"
"a054e02f-c4b2-4608-9d93-9dcfec7c253f","MASTER_DATA_MANAGEMENT_ADMIN","Manage Company Data","All","4","All"
"1bcbc813-e8fd-435a-bca9-424a3e83ab5c","CFM_EUHUB_ALERT_CONFIGURATION","Configure Alerts","Customer","2","All"
"951da164-cec9-467d-a27d-145dbd1aaffa","USSC_INVITATION_MANAGEMENT_ADMIN","Manage Invitations","All","5","All"
"581bff55-d3ef-4535-9b75-42000cebdb2b","USSC_CONNECTION_MANAGEMENT_ADMIN","Manage Connections","All","5","All"
"99617178-cc40-4c5a-9c20-3543cd543555","USSC_MASTER_DATA_MANAGEMENT_ADMIN","Manage Company Data","Customer","5","All"
"b506ab15-a2e8-4f7d-92e3-123762097a97","USSC_DISPENSER_PORTAL_USER","Transaction Information","All","5","All"
"086ecdf0-d82b-4558-94d6-0a66de3e76d8","USSC_VERIFICATION_LOG_USER","Verification Log","All","6","All"
"4e169718-e8d7-4893-b2f9-3e998c39673c","USSC_VERIFY_PRODPACK_USER","Verify Product Pack","All","6","All"
"7e77b452-e8ad-44cd-94fa-408b3a44d1f8","USSC_ALERT_MANAGEMENT_USER","Manage Alerts","All","6","All"
"8d227010-3cb6-4f40-bb8a-c22d20740400","USSC_CONFIG_VERIFY_RES_USER","Configure Verification Responses","All","6","All"
"4cd232e9-8f83-4a14-b604-3ae7e78f473f","USSC_BC_EXPLORER_USER","Blockchain Explorer","None","6","All"
"154c296a-4c6d-49c6-8f9e-10346a4ab52f","USSC_CONFIG_ALERT_MANAGE_USER","Configure Alert Resolutions","All","6","All"
"9b320e18-6853-42c6-afda-5501e783446a","MANAGE_CUSTOMIZATION_BRV_ADMIN","Manage Customization","Customer","7","All"
"2c6c5724-5095-4489-9ce9-262be1e52b55","PORTAL_USSC_VRS_CROSS_NAV_USER","U.S. Drug Supply Chain Security","All","6","All"
"8c310fd6-8d25-4d53-a287-fe1826c2857e","USSC_MESSAGE_MANAGEMENT_ADMIN","Manage Messages","All","5","All"
"fc58e3b4-b03f-48d3-bd8e-1f142d761f88","CERT_MANAGEMENT_AUTOMATION_ADMIN","CERT MANAGEMENT AUTOMATION ADMIN ","All","8","All"
